Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC00001,-26734.84359,-99239437.61,6.49684668,4.252401094,5.329486622,-4.899668097,-0.791761382,-0.021635411,-1526.452905,-340.482072,-914.5843682,-228.6211637,-0.825827933
GPC00002,-24121.77314,-92332285.07,-3.615154976,-20.42775885,-2.837157449,26.09555788,2.203560871,-0.011541359,-1150.311977,-260.4211989,-604.9192829,-148.0186316,-0.009928315
GPC00003,-29226.43716,-110345620,-1.805673246,-22.30726974,-2.372043454,14.45883584,1.81518119,-0.017863081,-1331.676863,-296.4583322,-644.8761289,-158.1617754,-0.06863094
GPC00004,-24083.63905,-87538943.52,-0.610400748,-19.15481585,-1.879109983,26.08591138,2.527388819,-0.027549098,-1090.083204,-260.7278823,-609.0928331,-160.1591897,0.430270249
GPC00005,-21306.07117,-82971420.77,-1.248544122,-13.81076992,-1.528583865,15.26359584,1.679794687,-0.015456583,-1283.77386,-283.068469,-693.2634456,-159.848897,-0.743153526
GPC00006,-27792.69293,-110031422,-1.928366877,-4.633545813,-2.306014293,22.05890923,2.076705029,-0.031239112,-1762.725316,-405.0572654,-975.3564855,-231.1320992,-0.691569618
GPC00007,-1563.732894,-2462002.66,1.705084421,-6.834497582,-0.05599127,-0.075468,0.259717638,-0.004559588,-291.2885194,-72.99790478,-200.2990631,-57.119635,-0.313925799
GPC00008,-2870.476035,-8759988.331,0.651091325,1.34845098,-0.366956716,-1.869787085,0.29401455,0.003263686,-219.1845806,-35.78161486,-100.1070363,-23.69944811,-0.26216814
GPC00009,-26423.21886,-97690070.13,6.460388289,3.326751731,5.213696715,-4.890422742,-0.773259651,-0.021813056,-1519.070745,-340.1874182,-907.7821211,-227.5411759,-0.803482237
GPC00010,-922.5723676,365964.8758,0.674964457,-11.48679525,0.639455419,-9.778683511,-0.729899056,0.012318947,-545.2344423,-103.548143,-288.2429926,-69.56125509,-2.361619887
GPC00011,-5579.966671,-20882692.9,0.495809594,5.912354053,-0.543486727,4.877841058,0.563119385,-0.004275274,-422.1051305,-81.64433834,-230.5842037,-51.67392541,-0.298137594
GPC00012,-37186.5407,-133017752.7,2.182033026,-1.595639198,2.195737726,-11.81492878,-0.837863111,-0.006247132,-2178.797261,-506.3331215,-1114.854981,-291.1374427,-2.787852148
GPC00013,-4728.292649,-15026163.09,-1.051535657,17.70943041,1.38344818,-18.72340313,-1.402261678,0.032015864,477.4816319,142.5796284,417.2602637,110.3922761,-4.417195697
GPC00014,5414.634646,26244135.29,-1.621265904,83.24550498,1.203291798,-17.8928829,-1.353528903,0.045060604,1352.961665,400.8116185,854.7317889,216.8950296,-2.54026816
GPC00015,-9966.439258,-28751910.14,-2.656392956,-2.197760994,-0.944559021,9.64468131,0.700523708,0.008162554,-582.4127537,-101.0146655,-305.8618654,-92.6991507,-1.991153601
GPC00016,-36480.61789,-133641323.7,-1.027212211,-21.67294006,-1.981676117,46.07485751,2.675542297,-0.021455253,-1780.999865,-436.8100763,-844.7864912,-222.2687119,-0.135514955
GPC00017,-31110.5847,-115025004.5,1.166684501,-21.74633735,-0.35701612,13.27460381,1.283305148,-0.019922434,-1326.109983,-317.6905938,-693.4743785,-177.0171512,-0.405343676
GPC00018,-27852.2126,-97893080.39,-1.371208484,-21.76090979,-2.232788267,46.00110051,2.759194055,-0.023566882,-1340.810802,-332.665455,-665.7177577,-182.6866228,0.210049805
GPC00019,-18730.7333,-72256349.37,-3.445379324,7.368450748,-2.389915032,21.69123075,1.589385667,-0.011040178,-1065.143015,-233.9873941,-529.3851409,-127.0704983,-0.797691743
GPC00020,-29389.91115,-105779209.7,-0.508127619,-13.19838617,-1.751305713,18.6714549,1.847383079,-0.037269086,-1730.812628,-428.3936124,-992.6060662,-255.5281975,-0.246890415
GPC00022,-26422.25222,-97312304.97,-2.997514439,-30.65689309,-2.080608518,17.46900068,1.548204293,-0.01481286,-1676.286269,-381.9648038,-861.2333535,-213.8667247,-1.264935627
GPC00023,-39347.69926,-144697392.6,-1.758537691,-10.71074589,-2.070667631,23.13132868,1.928707184,-0.024439224,-1975.711663,-475.5925517,-976.5872308,-247.566149,-0.823476234
GPC00024,-25112.89549,-94074847.12,0.1327034,-7.440675287,-1.336295952,24.87417976,1.813329619,-0.020790557,-1223.952355,-295.3426701,-652.2091292,-166.8234209,0.243616831
GPC00025,-9956.698443,-39313615.68,-1.053480259,-11.85874032,-1.66177772,12.61338215,0.983611523,-0.023013926,-1059.57811,-211.4066027,-604.053161,-142.3736603,-1.103477471
GPC00026,-29853.89067,-110129006,-0.210315271,-13.86684326,-0.029339018,5.368161882,0.696798235,-0.014432172,-1494.150959,-324.5477673,-754.8235202,-187.4835709,-1.463194727
GPC00027,796.5253769,663587.7092,0.311625685,-3.626544575,0.4848168,-11.23355689,-0.633734245,0.006802431,-293.9956423,-34.90547684,-113.6992324,-15.14707963,-1.516045105
